product_id,production_date,product_line,shift,operator_id,temperature_celsius,pressure_psi,humidity_percent,material_grade,production_time_minutes,dimension_length_mm,dimension_width_mm,weight_grams,defect_count,quality_score,pass_fail
3016,2024-11-26,Line_A,Night,110,63.56,155.23,43.38,C,36.8,98.86,46.96,207.37,3,90.33,Pass
3017,2024-05-06,Line_C,Night,147,75.72,173.73,56.93,A,44.5,101.71,50.14,185.99,1,97.79,Pass
3018,2024-07-11,Line_C,Evening,149,77.6,148.08,43.02,A,42.47,100.49,50.19,195.81,1,78.84,Pass
3019,2024-09-25,Line_C,Evening,107,70.71,158.46,32.68,A,46.22,98.33,46.29,205.29,3,82.71,Pass
3020,2024-05-01,Line_A,Morning,120,73.58,151.2,50.73,B,44.66,96.98,47.49,202.28,4,82.74,Pass
3021,2024-05-25,Line_B,Morning,111,73.89,153.55,49.3,C,51.49,98.24,51.3,180.11,2,73.36,Pass
3022,2024-05-31,Line_D,Evening,113,83.27,147.48,44.12,A,43.37,99.86,49.92,205.35,3,93.89,Pass
3023,2024-06-05,Line_B,Evening,117,75.99,142.41,42.71,B,55.18,97.57,50.29,183.2,2,84.85,Pass
3024,2024-06-04,Line_B,Night,137,72.27,153.84,46.85,A,25.26,100.49,49.78,229.14,1,84.71,Pass
3025,2024-04-11,Line_B,Night,144,69.52,140.04,51.02,B,55.34,97.81,51.87,211.69,4,90.05,Pass
3026,2024-12-05,Line_B,Night,136,66.45,129.97,45.63,A,33.97,99.62,53.6,197.14,1,75.13,Fail
3027,2024-09-08,Line_A,Evening,133,74.37,151.07,49.65,A,51.58,100.65,51.67,200.96,4,94.3,Pass
3028,2024-09-23,Line_A,Morning,110,75.58,141.75,58.33,A,50.4,99.03,46.48,225.89,0,80.98,Pass
3029,2024-11-02,Line_B,Night,134,68.95,147.1,42.83,A,36.42,102.12,49.95,177.58,4,72.39,Pass
3030,2024-02-28,Line_B,Night,145,67.92,133.32,66.51,C,54.79,100.74,52.12,192.8,4,75.71,Pass
3031,2024-12-05,Line_C,Evening,113,77.36,159.53,59.52,A,35.52,98.14,49.36,208.0,1,77.59,Pass
3032,2024-04-14,Line_C,Night,125,79.89,123.07,41.21,A,34.44,97.74,52.13,169.15,3,75.34,Pass
3033,2024-09-25,Line_D,Evening,144,73.55,154.27,61.32,C,41.41,103.11,49.49,197.9,3,77.27,Fail
3034,2024-02-16,Line_D,Morning,133,77.54,155.26,40.73,A,41.8,102.2,48.12,193.34,2,99.88,Pass
3035,2024-03-28,Line_D,Night,110,74.49,152.0,64.5,A,40.15,99.29,51.08,237.03,0,86.13,Pass
3036,2024-06-19,Line_C,Night,124,88.0,160.29,42.95,B,45.56,100.58,50.69,197.98,4,88.09,Pass
3037,2024-05-31,Line_B,Night,105,74.59,138.22,49.12,A,47.96,99.42,49.1,184.53,2,74.98,Pass
3038,2024-06-24,Line_B,Evening,110,81.88,169.62,48.96,C,44.36,101.3,51.95,186.72,4,71.32,Pass
3039,2024-11-14,Line_D,Evening,139,77.83,141.02,41.94,A,35.69,100.33,47.22,159.61,4,79.31,Pass
3040,2024-05-24,Line_D,Morning,147,72.29,156.61,48.59,C,38.18,95.97,51.58,225.29,0,93.09,Pass
3041,2024-11-20,Line_A,Evening,127,77.95,168.22,54.28,A,61.86,102.29,49.18,201.63,0,86.76,Pass
3042,2024-11-05,Line_D,Night,150,74.71,147.89,45.68,B,36.6,102.7,52.64,197.39,2,70.32,Pass
3043,2024-08-09,Line_C,Night,136,69.9,142.8,47.09,B,36.9,99.05,51.23,214.11,3,93.66,Pass
3044,2024-01-15,Line_C,Evening,133,75.46,157.94,51.49,B,32.58,100.62,49.48,208.23,4,73.12,Pass
3045,2024-05-17,Line_D,Morning,128,72.85,144.27,36.12,A,52.76,102.17,48.55,200.24,1,83.21,Fail
3046,2024-09-06,Line_D,Evening,140,74.75,141.37,45.67,C,52.68,106.79,47.57,184.97,2,99.98,Pass
3047,2024-05-29,Line_A,Evening,143,74.65,156.92,55.07,A,48.18,101.05,49.88,191.87,4,73.64,Pass
3048,2024-12-16,Line_A,Night,103,73.89,157.53,42.78,A,55.29,100.7,50.08,201.87,0,94.45,Pass
3049,2024-09-25,Line_A,Night,131,70.23,149.7,49.8,B,39.22,101.72,51.58,210.04,0,93.98,Pass
3050,2024-03-21,Line_C,Night,129,81.1,150.66,31.74,A,35.76,101.92,48.92,180.02,0,83.35,Fail
3051,2024-03-05,Line_A,Evening,144,74.64,151.67,45.83,A,47.21,101.06,50.55,198.71,0,99.65,Pass
3052,2024-05-21,Line_B,Evening,145,76.11,148.08,43.88,A,48.78,97.42,49.47,219.4,3,79.24,Pass
3053,2024-10-26,Line_B,Morning,150,74.01,147.23,45.4,A,46.52,100.35,52.25,181.41,3,79.47,Pass
3054,2024-09-03,Line_B,Night,144,72.97,136.44,43.66,A,42.53,100.59,49.81,211.16,4,74.57,Pass
3055,2024-07-11,Line_A,Morning,142,75.99,142.69,54.89,C,53.22,97.06,48.9,180.5,4,81.09,Pass
3056,2024-10-09,Line_C,Night,121,82.03,149.92,37.74,B,44.65,101.27,48.2,192.02,2,78.89,Pass
3057,2024-09-10,Line_C,Morning,132,67.21,171.08,42.2,C,47.02,97.74,49.32,170.3,0,88.13,Pass
3058,2024-06-21,Line_A,Night,128,69.55,138.56,38.74,C,44.77,102.64,49.65,204.52,0,71.22,Fail
3059,2024-11-08,Line_D,Evening,121,73.36,145.05,34.43,A,41.06,98.4,49.7,188.45,1,79.31,Pass
3060,2024-10-04,Line_D,Night,147,71.06,137.06,44.45,A,36.5,101.89,50.64,170.05,1,70.14,Fail
3061,2024-10-16,Line_A,Morning,135,85.08,129.22,37.47,A,48.37,98.63,49.5,202.07,0,70.19,Pass
3062,2024-11-01,Line_C,Morning,130,73.26,163.85,46.97,C,27.69,102.52,48.75,215.9,1,94.61,Pass
3063,2024-11-05,Line_B,Night,147,77.37,155.3,47.18,B,39.92,102.77,49.37,206.14,1,92.49,Pass
3064,2024-07-04,Line_D,Evening,117,73.58,163.55,46.26,A,41.0,101.13,49.67,205.4,0,92.32,Pass
3065,2024-12-21,Line_B,Night,129,62.32,131.18,49.62,C,35.29,98.74,49.15,211.77,3,80.61,Fail
3066,2024-08-11,Line_C,Evening,148,72.97,156.32,26.31,B,42.66,100.84,47.58,189.21,3,90.98,Pass
3067,2024-03-02,Line_D,Night,102,69.15,171.38,56.96,B,48.57,98.54,47.72,201.64,4,77.7,Pass
3068,2024-03-24,Line_A,Evening,133,76.65,159.59,44.52,A,46.03,97.72,47.07,232.98,3,79.28,Pass
3069,2024-01-27,Line_B,Night,104,73.51,155.65,50.49,A,40.4,98.97,50.25,202.2,0,86.87,Pass
3070,2024-11-15,Line_B,Night,149,71.17,142.31,37.01,B,49.95,99.9,50.68,187.47,1,90.99,Fail
3071,2024-05-10,Line_B,Evening,139,74.43,164.58,34.8,B,47.11,98.73,48.74,205.24,0,77.97,Pass
3072,2024-05-06,Line_A,Evening,125,72.86,143.56,49.07,B,35.84,99.47,50.73,194.29,2,90.38,Pass
3073,2024-01-11,Line_A,Night,105,80.11,155.04,50.8,C,38.79,98.88,49.42,199.44,1,98.87,Fail
3074,2024-10-06,Line_B,Morning,104,77.8,139.61,35.17,A,33.71,100.03,49.78,211.17,0,84.82,Pass
3075,2024-10-11,Line_A,Evening,129,83.66,149.04,49.78,A,42.21,99.55,48.04,191.92,4,82.21,Pass
3076,2024-07-15,Line_D,Morning,137,78.61,159.77,50.61,B,39.65,96.97,51.87,157.16,4,76.97,Fail
3077,2024-08-12,Line_C,Morning,108,77.45,159.04,50.03,B,43.17,99.93,52.39,197.4,1,80.68,Pass
3078,2024-09-20,Line_D,Morning,120,77.99,150.17,46.22,A,60.47,98.4,50.49,207.39,3,85.86,Pass
3079,2024-10-01,Line_A,Morning,141,78.67,171.52,47.48,C,31.92,98.19,48.86,226.22,4,98.32,Pass
3080,2024-03-08,Line_C,Night,106,66.0,147.9,58.69,B,29.83,98.18,50.14,216.06,2,77.82,Fail
3081,2024-08-20,Line_B,Evening,136,77.59,161.46,40.36,B,56.96,100.35,48.84,195.0,1,76.94,Fail
3082,2024-04-08,Line_B,Night,132,67.02,144.37,52.01,A,49.22,100.8,47.99,207.2,2,98.82,Pass
3083,2024-08-09,Line_C,Night,105,65.44,137.55,48.37,A,52.81,100.26,51.06,196.31,1,88.18,Pass
3084,2024-05-03,Line_D,Night,140,69.44,148.01,34.02,C,42.24,101.46,48.51,213.28,3,92.06,Pass
3085,2024-10-30,Line_B,Night,120,76.27,133.19,33.6,B,50.51,100.0,48.72,197.62,0,94.89,Pass
3086,2024-04-11,Line_B,Night,145,68.5,153.21,46.35,C,43.99,100.26,46.67,211.31,1,72.45,Pass
3087,2024-11-15,Line_B,Evening,104,77.54,151.07,32.2,A,51.93,98.29,51.6,225.03,0,84.54,Pass
3088,2024-09-20,Line_A,Night,139,83.18,156.17,25.83,A,53.14,100.99,52.26,238.21,1,74.2,Pass
3089,2024-12-30,Line_D,Night,122,73.46,149.86,71.41,A,52.39,99.71,51.1,177.64,3,88.73,Pass
3090,2024-08-17,Line_A,Night,133,76.02,147.02,37.27,A,39.76,101.25,51.22,173.09,2,98.61,Fail
3091,2024-05-02,Line_C,Morning,131,71.49,150.76,52.35,B,45.74,99.81,47.99,185.95,0,71.69,Pass
3092,2024-08-14,Line_C,Night,141,68.87,161.3,46.87,A,37.33,100.01,49.61,199.15,2,78.22,Pass
3093,2024-08-15,Line_A,Evening,129,74.03,160.25,63.61,A,49.42,98.42,51.09,192.08,1,99.99,Pass
3094,2024-06-01,Line_B,Evening,105,71.1,162.78,60.13,A,47.71,99.68,48.54,218.73,1,70.16,Pass
3095,2024-11-04,Line_A,Evening,110,72.69,127.42,49.49,A,32.26,104.07,49.39,188.12,3,74.19,Pass
3096,2024-10-31,Line_D,Morning,111,71.35,160.7,33.65,C,48.67,96.3,47.55,183.3,1,72.42,Pass
3097,2024-11-23,Line_B,Evening,150,68.3,156.97,57.27,A,48.49,99.09,49.55,220.06,3,92.92,Pass
3098,2024-05-28,Line_C,Morning,137,74.41,170.47,35.07,A,49.54,101.57,49.73,208.16,1,92.53,Pass
3099,2024-11-02,Line_D,Evening,122,65.36,144.74,53.57,B,45.37,98.57,50.75,204.46,2,93.33,Pass
3100,2024-01-09,Line_C,Morning,124,77.53,146.98,37.08,B,49.52,100.22,47.51,183.3,1,93.25,Pass
3101,2024-11-15,Line_D,Evening,121,66.55,152.65,41.01,A,47.51,99.8,47.49,216.08,0,95.06,Pass
3102,2024-08-11,Line_D,Night,136,72.03,125.83,63.6,A,37.87,101.7,51.85,196.55,4,93.19,Pass
3103,2024-01-23,Line_D,Evening,116,80.84,122.62,46.97,C,50.05,99.51,51.61,202.03,0,84.51,Pass
3104,2024-07-10,Line_C,Evening,102,78.58,153.13,38.75,C,37.38,96.71,49.03,205.11,0,92.36,Pass
3105,2024-08-14,Line_A,Evening,115,74.99,138.41,43.25,B,36.45,103.38,52.29,220.79,3,87.93,Pass
3106,2024-02-23,Line_A,Night,141,85.96,136.62,46.91,B,46.69,99.74,50.25,206.66,1,81.0,Pass
3107,2024-04-01,Line_B,Morning,149,75.47,155.42,38.17,A,23.68,100.32,51.71,189.72,2,95.1,Pass
3108,2024-01-15,Line_C,Morning,126,80.29,134.12,50.22,A,39.66,99.09,49.56,199.9,1,93.64,Pass
3109,2024-11-03,Line_B,Night,130,71.87,156.98,38.48,A,42.49,100.33,50.47,210.19,4,75.2,Pass
3110,2024-06-27,Line_B,Night,102,60.57,141.34,27.87,A,55.6,101.97,49.49,225.48,1,70.73,Pass
3111,2024-01-04,Line_D,Morning,129,76.14,140.92,43.26,C,43.28,99.71,52.51,193.91,4,79.48,Fail
3112,2024-04-10,Line_D,Morning,106,77.22,153.6,40.15,C,60.41,98.44,49.76,192.61,4,82.11,Pass
3113,2024-05-09,Line_A,Morning,101,77.06,137.63,46.16,C,33.09,97.39,49.87,211.44,0,75.23,Pass
3114,2024-01-07,Line_A,Morning,140,67.79,167.33,43.4,B,48.77,102.35,47.58,186.75,4,95.65,Fail
3115,2024-07-02,Line_B,Morning,111,89.89,148.95,51.93,B,50.19,99.12,49.82,190.53,4,71.01,Pass
3116,2024-11-26,Line_B,Night,123,69.48,149.82,50.73,A,37.64,101.1,52.61,200.38,2,84.51,Pass
3117,2024-11-27,Line_B,Morning,126,75.51,156.33,28.93,C,44.28,101.38,52.03,206.55,3,71.66,Pass
3118,2024-02-04,Line_A,Morning,131,76.25,160.71,44.61,B,44.16,99.55,49.73,215.28,1,86.1,Fail
3119,2024-08-19,Line_B,Evening,115,79.1,144.76,41.44,A,53.7,99.84,49.86,202.46,2,83.91,Pass
3120,2024-06-02,Line_A,Night,109,71.55,156.92,42.55,B,33.46,100.02,48.13,201.31,3,93.4,Pass
3121,2024-03-04,Line_C,Night,134,77.61,157.52,30.66,A,60.03,101.61,50.52,208.59,0,90.69,Pass
3122,2024-09-03,Line_C,Morning,139,83.09,164.67,19.63,B,29.8,98.37,50.49,177.01,2,95.32,Pass
3123,2024-02-25,Line_B,Evening,117,72.71,145.31,56.97,A,48.39,99.59,50.79,201.19,2,86.33,Pass
3124,2024-08-16,Line_A,Evening,135,72.47,157.52,43.11,A,38.01,100.59,47.62,224.2,0,94.67,Fail
3125,2024-11-06,Line_C,Morning,136,69.95,155.71,47.34,A,48.82,100.63,51.74,211.74,4,91.57,Pass
3126,2024-09-09,Line_A,Evening,103,76.22,154.27,39.5,A,39.71,101.24,49.66,199.62,0,93.39,Pass
3127,2024-10-19,Line_A,Morning,140,70.56,127.88,33.51,A,55.77,97.34,51.84,211.03,1,88.02,Pass
3128,2024-02-21,Line_C,Night,111,78.46,162.57,40.63,A,45.8,99.35,50.31,181.49,0,91.59,Pass
3129,2024-01-15,Line_B,Evening,128,72.58,160.39,36.9,A,41.64,100.82,52.14,206.5,2,82.05,Fail
3130,2024-12-07,Line_B,Morning,148,73.8,156.6,49.87,C,36.03,97.4,50.97,199.49,0,72.55,Pass
3131,2024-12-05,Line_C,Morning,128,70.02,143.91,47.68,C,48.1,103.51,48.74,201.55,1,82.5,Pass
3132,2024-12-28,Line_D,Morning,146,85.75,166.48,50.29,A,48.6,96.9,51.23,194.46,4,75.2,Pass
3133,2024-06-28,Line_A,Night,119,75.51,149.42,48.09,A,42.1,97.73,51.53,221.06,4,88.88,Pass
3134,2024-03-17,Line_D,Evening,102,69.23,154.86,29.47,B,45.24,98.57,50.32,192.59,3,77.9,Pass
3135,2024-08-02,Line_B,Night,132,76.39,138.55,42.08,C,47.26,98.35,49.58,184.03,3,98.74,Pass
3136,2024-08-10,Line_A,Night,144,66.53,146.86,38.43,A,50.13,101.0,51.39,177.79,1,78.14,Fail
3137,2024-06-02,Line_C,Evening,111,71.71,150.68,46.34,A,37.01,100.17,51.73,167.69,3,72.94,Pass
3138,2024-02-14,Line_B,Night,116,77.13,141.19,39.75,A,41.32,98.22,48.03,203.28,4,96.42,Pass
3139,2024-12-17,Line_B,Morning,111,77.6,143.4,47.47,B,49.89,104.15,50.2,188.24,4,82.43,Pass
3140,2024-01-21,Line_B,Evening,103,79.48,155.36,47.86,A,44.15,101.5,49.7,180.46,3,80.67,Pass
3141,2024-03-21,Line_C,Night,142,81.52,160.46,42.95,A,29.99,100.52,52.84,196.05,0,96.56,Fail
3142,2024-02-22,Line_C,Evening,129,74.12,135.43,47.24,A,57.74,101.44,48.93,210.25,4,89.6,Fail
3143,2024-06-05,Line_D,Night,105,79.47,172.96,48.01,A,51.77,100.8,50.83,198.52,3,85.97,Pass
3144,2024-05-26,Line_C,Morning,128,79.02,141.35,45.99,C,31.01,100.39,51.04,202.01,3,79.81,Fail
3145,2024-06-30,Line_D,Night,131,79.22,139.65,47.85,B,39.75,101.01,50.09,217.57,1,78.77,Pass
3146,2024-03-18,Line_A,Evening,113,67.59,165.31,50.29,B,57.58,99.92,52.07,212.35,1,87.39,Pass
3147,2024-04-28,Line_A,Night,125,76.3,156.89,42.07,A,48.64,101.34,49.86,201.67,4,85.04,Pass
3148,2024-12-24,Line_A,Morning,106,73.55,159.72,39.06,A,33.46,100.16,48.17,185.23,2,78.28,Fail
3149,2024-12-08,Line_B,Morning,103,81.52,141.56,47.78,C,29.33,99.45,52.2,191.8,3,75.52,Fail
3150,2024-04-14,Line_B,Morning,122,75.54,154.52,40.37,A,30.9,103.26,49.33,200.43,0,94.54,Pass
3151,2024-01-02,Line_B,Night,141,73.01,175.56,44.92,B,41.08,100.17,50.14,210.76,2,90.63,Pass
3152,2024-04-24,Line_C,Evening,139,73.45,141.47,43.93,B,50.35,99.51,49.77,205.11,3,99.8,Pass
3153,2024-02-01,Line_C,Night,132,73.16,157.32,58.49,C,32.72,98.28,48.58,190.73,2,85.47,Pass
3154,2024-12-23,Line_D,Night,130,75.79,142.26,51.07,A,49.56,98.0,48.62,206.01,3,99.83,Pass
3155,2024-03-02,Line_B,Night,107,76.61,139.55,54.87,B,37.97,100.09,47.69,225.59,3,83.82,Pass
3156,2024-04-06,Line_C,Evening,125,73.99,147.52,48.29,A,30.14,99.28,50.78,204.38,2,86.05,Pass
3157,2024-05-14,Line_A,Morning,102,73.38,149.69,47.3,A,42.21,98.52,51.08,209.24,1,76.27,Pass
3158,2024-04-07,Line_A,Morning,108,70.22,148.31,48.33,C,60.79,102.59,50.37,194.8,3,74.49,Pass
3159,2024-08-02,Line_C,Morning,150,82.21,149.28,41.34,C,55.75,102.08,50.91,197.12,4,98.21,Pass
3160,2024-03-24,Line_A,Evening,133,73.62,172.02,35.87,A,41.01,98.01,49.8,174.69,2,99.44,Pass
3161,2024-06-05,Line_A,Night,128,76.2,167.08,49.65,B,46.66,99.31,50.3,202.05,1,86.43,Pass
3162,2024-04-16,Line_D,Night,110,77.08,151.75,49.09,A,40.35,96.75,49.96,158.62,0,78.17,Pass
3163,2024-12-22,Line_A,Night,138,76.37,150.96,56.42,B,29.25,99.02,49.89,177.16,3,98.54,Pass
3164,2024-05-10,Line_B,Evening,118,72.7,164.52,51.87,B,40.13,98.64,48.37,205.04,3,93.9,Pass
3165,2024-01-22,Line_C,Night,113,77.97,157.36,41.51,B,50.11,99.68,51.98,185.17,4,75.39,Pass
3166,2024-03-24,Line_C,Evening,121,82.15,152.66,36.08,A,35.59,98.23,49.57,170.28,1,78.95,Pass
3167,2024-03-29,Line_B,Morning,133,78.37,172.47,47.79,B,53.57,96.45,49.31,201.02,3,70.13,Pass
3168,2024-08-13,Line_A,Morning,123,77.17,141.37,45.2,A,53.91,98.9,49.16,176.89,1,87.46,Pass
3169,2024-04-15,Line_D,Evening,101,78.24,149.87,40.51,B,41.39,102.52,49.42,215.77,3,85.79,Pass
3170,2024-12-14,Line_D,Morning,144,75.33,148.63,49.37,A,45.89,98.73,49.44,207.1,0,74.92,Pass
3171,2024-12-24,Line_B,Evening,140,73.62,154.69,35.5,B,55.42,103.88,50.29,227.41,4,80.18,Pass
3172,2024-04-10,Line_A,Night,121,84.57,139.43,40.05,C,47.9,98.32,47.47,205.87,0,98.18,Pass
3173,2024-10-22,Line_B,Morning,105,82.67,154.72,67.82,A,56.67,100.16,48.71,228.3,0,89.47,Pass
3174,2024-05-27,Line_D,Morning,135,72.59,147.27,37.12,B,30.96,100.65,52.23,185.5,2,95.89,Pass
3175,2024-08-17,Line_A,Night,118,80.67,160.36,48.53,A,40.35,97.92,52.13,190.93,0,95.15,Pass
3176,2024-03-27,Line_B,Night,138,77.33,146.88,53.04,B,42.38,96.69,49.61,204.39,4,97.62,Pass
3177,2024-01-11,Line_B,Evening,136,75.65,144.29,51.78,B,54.95,102.17,53.74,198.11,4,71.25,Pass
3178,2024-05-15,Line_A,Morning,147,82.54,156.91,50.41,A,45.01,102.19,51.05,202.18,3,77.87,Pass
3179,2024-04-02,Line_D,Night,129,75.58,151.13,48.61,A,39.1,102.79,52.21,199.55,0,82.47,Pass
3180,2024-10-18,Line_A,Morning,126,76.27,147.41,44.87,C,44.11,98.36,50.14,196.89,1,89.2,Pass
3181,2024-06-01,Line_D,Morning,136,77.44,148.04,56.49,C,49.16,100.74,49.62,185.94,2,88.24,Pass
3182,2024-12-19,Line_C,Morning,138,68.83,145.17,56.05,B,42.48,100.08,51.43,189.0,2,77.38,Pass
3183,2024-04-05,Line_D,Morning,150,76.37,170.61,53.03,A,51.71,99.8,51.68,186.6,2,75.78,Pass
3184,2024-03-02,Line_D,Evening,118,68.08,155.49,57.8,B,45.93,99.23,49.59,185.27,4,83.12,Pass
3185,2024-12-26,Line_C,Night,129,77.93,157.68,52.62,B,42.58,101.55,50.66,200.98,4,77.52,Pass
3186,2024-03-27,Line_B,Morning,131,77.72,155.22,42.34,A,54.43,105.26,45.59,189.25,3,98.95,Pass
3187,2024-07-29,Line_B,Night,142,80.88,152.82,39.47,C,56.51,100.55,49.02,192.13,0,98.96,Pass
3188,2024-03-23,Line_D,Night,113,78.13,145.81,47.96,A,54.35,100.36,52.14,221.0,4,73.4,Pass
3189,2024-08-14,Line_C,Evening,150,87.88,143.09,47.33,B,38.55,98.69,49.2,207.17,2,91.15,Pass
3190,2024-01-12,Line_C,Evening,130,67.94,145.77,48.7,A,54.53,101.35,49.92,212.14,4,76.85,Pass
3191,2024-12-24,Line_A,Morning,107,74.9,156.6,57.26,B,53.01,95.08,49.81,216.83,0,91.52,Fail
3192,2024-06-01,Line_D,Morning,140,80.25,145.68,41.98,A,35.84,99.34,48.36,224.65,4,93.01,Pass
3193,2024-01-05,Line_C,Evening,106,80.71,162.95,43.78,A,42.32,100.73,49.87,199.82,0,71.45,Pass
3194,2024-03-16,Line_B,Night,102,72.13,166.94,47.39,B,54.96,100.49,49.69,204.11,3,90.86,Pass
3195,2024-01-04,Line_C,Night,108,80.93,132.7,43.81,A,52.64,99.81,48.63,192.26,4,96.9,Pass
3196,2024-03-23,Line_C,Evening,110,67.68,166.02,30.34,C,40.8,96.31,49.78,187.42,0,76.49,Pass
3197,2024-12-27,Line_C,Morning,149,70.97,138.91,41.31,C,36.3,102.99,48.23,177.64,0,73.47,Pass
3198,2024-02-04,Line_C,Morning,144,77.06,147.38,37.13,A,55.4,100.46,49.93,184.8,1,87.0,Pass
3199,2024-08-29,Line_B,Morning,143,76.4,151.5,55.94,A,49.5,99.95,49.89,192.13,3,85.52,Pass
3200,2024-05-23,Line_C,Evening,149,81.27,129.16,38.38,B,45.29,102.52,52.96,203.0,4,96.57,Fail
3201,2024-03-20,Line_D,Evening,148,79.46,143.14,44.66,B,38.59,102.42,48.8,182.88,1,83.53,Fail
3202,2024-03-15,Line_C,Night,122,72.81,151.7,45.41,C,50.76,99.57,51.22,185.42,4,82.41,Fail
3203,2024-10-25,Line_B,Evening,110,81.29,137.79,48.99,A,36.71,99.48,47.83,168.61,2,91.42,Pass
3204,2024-10-10,Line_D,Morning,135,77.75,137.36,47.08,B,37.77,100.95,53.69,189.69,2,72.32,Pass
3205,2024-08-02,Line_C,Night,119,79.14,168.55,47.51,A,48.21,102.47,50.59,200.94,0,71.71,Pass
3206,2024-09-02,Line_B,Morning,104,79.01,151.33,37.96,B,52.92,101.97,50.36,200.78,1,85.15,Pass
3207,2024-08-25,Line_D,Morning,119,73.79,160.11,42.81,A,46.14,98.07,50.92,195.17,0,72.67,Pass
3208,2024-12-02,Line_C,Night,141,79.95,169.29,33.91,B,42.1,97.83,50.1,196.25,0,98.17,Pass
3209,2024-01-19,Line_C,Morning,120,76.72,158.13,48.03,A,52.1,98.27,49.38,200.08,0,89.63,Pass
3210,2024-03-14,Line_C,Night,149,79.54,145.0,38.84,A,35.76,101.1,48.59,218.68,2,92.61,Pass
3211,2024-02-24,Line_D,Morning,104,82.45,144.06,55.79,A,37.39,99.23,50.3,194.61,0,76.87,Pass
3212,2024-03-23,Line_A,Morning,149,74.52,155.36,29.18,C,53.69,100.99,51.88,197.89,0,84.82,Pass
3213,2024-06-12,Line_C,Night,126,80.2,156.96,60.4,B,35.54,97.41,47.2,180.57,0,74.02,Fail
3214,2024-11-13,Line_B,Morning,103,73.29,152.65,46.87,B,30.73,98.35,53.32,207.06,0,76.09,Pass
3215,2024-12-28,Line_A,Morning,130,72.68,157.7,42.55,B,37.1,100.98,48.71,199.05,1,87.05,Pass
3216,2024-06-15,Line_C,Night,136,74.96,148.83,49.4,B,53.7,96.91,50.46,192.05,4,78.4,Pass
3217,2024-04-25,Line_B,Night,141,74.95,150.14,56.7,A,52.15,103.56,48.91,182.32,1,97.51,Pass
3218,2024-10-23,Line_C,Night,106,77.32,145.79,60.09,A,33.29,102.22,49.91,205.23,3,99.86,Pass
3219,2024-07-06,Line_B,Evening,139,69.36,141.34,44.96,B,38.44,102.77,50.49,183.63,1,70.12,Pass
3220,2024-09-11,Line_C,Morning,127,77.82,141.13,29.04,A,33.1,101.54,49.73,207.97,3,92.77,Pass
3221,2024-12-07,Line_B,Night,116,74.27,146.32,44.33,A,50.09,96.25,50.27,226.87,2,73.46,Pass
3222,2024-11-17,Line_B,Morning,147,65.54,157.37,40.76,B,35.21,102.25,50.17,217.28,4,87.24,Pass
3223,2024-12-18,Line_A,Night,116,77.0,150.35,50.25,A,48.61,101.45,50.84,200.45,0,76.85,Pass
3224,2024-01-19,Line_A,Morning,146,82.07,145.8,41.69,A,43.35,99.33,50.74,209.36,3,98.95,Fail
3225,2024-11-06,Line_D,Morning,136,80.32,147.41,35.95,C,45.75,99.1,46.75,189.57,2,96.27,Pass
3226,2024-10-28,Line_B,Night,134,75.0,131.85,40.82,C,31.58,101.56,49.5,180.29,4,87.86,Fail
3227,2024-01-04,Line_B,Night,139,72.86,144.69,55.92,A,52.14,96.83,52.01,201.99,3,75.28,Pass
